sd1	laest_info	rosiner	karakter	optage	R	afl_opg	oevelser	konc	studie	madvaner	hojde	synspunkter	arbejde	renovere_bolig	haekle	klatre	kantarel	rulleski	fodbold
ja lidt	Ja det hele	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	45	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	170	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
ja lidt	Ja det hele	Det har jeg ingen mening om	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	35	naturressourcer	Jeg er veganer eller vegetar	170	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge	NA	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Ja det hele	Uden	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	35	bioteknologi	Jeg spiser både grønt, fisk og kød	175	Det skal være gratis at gå til tandlæge	11	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Nej	Næsten hver gang	45	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	166	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge	25	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
ja lidt	Nej slet ikke	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	180	Der bør være lavere skat på arbejde	0	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	4	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Ja	Hver gang	40	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	170	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	10	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
hverken ja eller nej	Ja en del af informationen	Det har jeg ingen mening om	4	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	30	naturressourcer	Jeg spiser både grønt, fisk og kød	175	Det skal være gratis at gå til tandlæge	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ja lidt	Ja en del af informationen	Med	4	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Det ved jeg ikke	Hver gang	45	naturressourcer	Jeg spiser både grønt, fisk og kød	174	NA	16	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Hver gang	47.5	bioteknologi	Jeg spiser både grønt, fisk og kød	173	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
nej	Ja en del af informationen	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	55	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	165	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Der stilles større krav til unge mennesker idag end før i tiden	4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Nej	Halvdelen af gangene (ca. 1 gang om ugen)	30	husdyrvidenskab	Jeg er veganer eller vegetar	170	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	15	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
ja lidt	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	30	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	173	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	12	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
ja lidt	Ja det hele	Det har jeg ingen mening om	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	50	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	190	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav	12.5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
hverken ja eller nej	Ja det hele	Uden	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	204	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav	3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ja lidt	Ja det hele	Det har jeg ingen mening om	7	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	37.5	bioteknologi	Jeg spiser både grønt, fisk og kød	180	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	40	bioteknologi	Jeg spiser både grønt, fisk og kød	170	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	6	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Det ved jeg ikke	Hver gang	45	naturressourcer	Jeg er veganer eller vegetar	183	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	15	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ja meget	Ja en del af informationen	Uden	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	60	bioteknologi	Jeg spiser både grønt, fisk og kød	198	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	40	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	172	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ja meget	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	45	naturressourcer	Jeg spiser både grønt, fisk og kød	175	Der bør være højere skat på flyrejser,Der stilles større krav til unge mennesker idag end før i tiden	7.5	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
ja lidt	Ja det hele	Det har jeg ingen mening om	10	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	45	bioteknologi	Jeg spiser både grønt og fisk men ikke kød	168	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	8	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
ja lidt	Ja en del af informationen	Med	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Nej	Hver gang	45	naturressourcer	Jeg spiser både grønt, fisk og kød	166	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	8	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	2	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Halvdelen af gangene (ca. 1 gang om ugen)	45	bioteknologi	Jeg spiser både grønt, fisk og kød	170	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	17.5	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Ja	Halvdelen af gangene (ca. 1 gang om ugen)	45	naturressourcer	Jeg er veganer eller vegetar	180	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	150	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	4	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
ja lidt	Ja en del af informationen	Med	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	45	naturressourcer	Jeg er veganer eller vegetar	176	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	12	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ja meget	Ja det hele	Uden	Det ønsker jeg ikke at svare på	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	45	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	169	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav	10	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ja lidt	Ja det hele	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Ja	Hver gang	NA	bioteknologi	Jeg spiser både grønt, fisk og kød	159	Der stilles større krav til unge mennesker idag end før i tiden	10	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Med	12	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	170	NA	0	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
hverken ja eller nej	Ja det hele	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	bioteknologi	Jeg spiser både grønt, fisk og kød	183	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
ja meget	Ja en del af informationen	Med	4	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	182	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Det har jeg ingen mening om	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	andet	Jeg spiser både grønt, fisk og kød	192	Det skal være gratis at gå til tandlæge	12.5	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
nej	Ja det hele	Uden	7	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	45	naturressourcer	Jeg spiser både grønt, fisk og kød	176	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	10	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
nej	Ja en del af informationen	Med	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	naturressourcer	Jeg spiser både grønt og fisk men ikke kød	168	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	10	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ja lidt	Ja det hele	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	60	bioteknologi	Jeg spiser både grønt, fisk og kød	178	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	8	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Det har jeg ingen mening om	12	nej det er lige meget	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	60	naturressourcer	Jeg spiser både grønt, fisk og kød	163	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA
nej	Ja en del af informationen	Uden	4	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	160	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	0	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
ja meget	Ja det hele	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	50	naturressourcer	Jeg spiser både grønt og fisk men ikke kød	172	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	10	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Ja det hele	Med	10	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	40	bioteknologi	Jeg spiser både grønt, fisk og kød	189	Der bør være lavere skat på arbejde	10	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
ja lidt	Ja det hele	Uden	4	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	172	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	10	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Nej slet ikke	Med	4	ja det vil være en stor fordel for mig	Jeg bruger jævnligt R til at løse forskellige opgaver	Det ved jeg ikke	Næsten hver gang	45	bioteknologi	Jeg spiser både grønt og fisk men ikke kød	173	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	25	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ja lidt	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	40	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	169	Det skal være gratis at gå til tandlæge	16	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja meget	Ja det hele	Uden	10	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Halvdelen af gangene (ca. 1 gang om ugen)	50	naturressourcer	Jeg spiser både grønt, fisk og kød	193	Der bør være lavere skat på arbejde,Der stilles større krav til unge mennesker idag end før i tiden	15	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	60	naturressourcer	Jeg er veganer eller vegetar	188	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	13.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja meget	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	90	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	171	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	27.5	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	45	husdyrvidenskab	Jeg er veganer eller vegetar	182	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	NA	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
hverken ja eller nej	Nej slet ikke	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Halvdelen af gangene (ca. 1 gang om ugen)	45	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	219	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	20	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Hver gang	NA	bioteknologi	Jeg spiser både grønt, fisk og kød	185	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	182	Det skal være gratis at gå til tandlæge	10	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
nej	Ja det hele	Med	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	naturressourcer	Jeg er veganer eller vegetar	184	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	10	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja det hele	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	bioteknologi	Jeg spiser både grønt og fisk men ikke kød	178	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	8	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	12	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	bioteknologi	Jeg spiser både grønt og fisk men ikke kød	172	Det skal være gratis at gå til tandlæge	2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
ja meget	Ja en del af informationen	Uden	12	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	183	Det skal være gratis at gå til tandlæge	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ja meget	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	150	bioteknologi	Jeg spiser både grønt, fisk og kød	180	Det skal være gratis at gå til tandlæge,	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	40	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	184	Det skal være gratis at gå til tandlæge	20	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	10	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	45	husdyrvidenskab	Jeg er veganer eller vegetar	174	Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	12	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja meget	Nej slet ikke	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Hver gang	NA	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	189	Det skal være gratis at gå til tandlæge	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
ja lidt	Ja det hele	Med	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	27	bioteknologi	Jeg spiser både grønt og fisk men ikke kød	156	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	12	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Nej	Næsten hver gang	40	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	194	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	13	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Nej slet ikke	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Det ved jeg ikke	Næsten hver gang	75	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	183	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge	15	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja det hele	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	25	bioteknologi	Jeg spiser både grønt, fisk og kød	181	Der bør være højere skat på flyrejser,Der stilles større krav til unge mennesker idag end før i tiden	13	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	42.5	naturressourcer	Jeg er veganer eller vegetar	168	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Det ved jeg ikke	Næsten hver gang	45	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	165	Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja det hele	Med	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	178	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	18	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
ja meget	Nej slet ikke	Uden	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	NA	bioteknologi	Jeg spiser både grønt, fisk og kød	195	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	11.5	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	60	naturressourcer	Jeg spiser både grønt, fisk og kød	186	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	9.5	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
